Census Tract,Year,Population,Total Laborforce,% of Total Laborforce,Drove Alone,Carpool,Public Transit,Bike,Walk,Other Mode,Work at Home
3543,1990,3451,1647,3.1,65.6,7.2,14.8,1.3,6.3,1.2,3.5
3543,2000,3266,1712,3.1,56.5,12.1,18.2,1.7,4.6,0,7
3543,2006-2010,3968,2065,3.6,41.6,7,31.5,2.4,7.3,2.4,8.2
3544,1990,1740,1019,1.9,55.2,9.3,17.8,1.4,7.9,0.8,7.8
3544,2000,1714,1068,1.9,53.2,6.4,23.1,1.9,8,0,7.5
3544,2006-2010,1479,820,1.4,56.7,3.7,16.5,3.7,9.1,1.2,9.1
3545,1990,2427,1452,2.8,41.3,7,26.3,3.5,15.8,0.5,5.4
3545,2000,2405,1598,2.9,42.7,5.1,21.3,5.9,17.8,0.9,6.3
3545,2006-2010,2511,1540,2.7,37.7,0,22.4,5.8,25.3,1.3,7.1
3546,1990,4037,2177,4.2,57.8,10.5,20,1.7,6.6,1.6,1.7
3546,2000,4409,2110,3.8,48.7,11,22.5,3.8,9,0.7,4.3
3546,2006-2010,4953,2365,4.2,44.2,8.6,24.5,4.7,6.6,0.8,10.8
3547,1990,2189,1357,2.6,46.6,9.2,33.6,2.1,5,0.9,2.7
3547,2000,2481,1559,2.8,37.8,7.2,33.9,3.5,8.7,1.6,7.4
3547,2006-2010,2624,1675,2.9,31.6,0.6,46.9,5.7,9.3,0.2,5.7
3548,1990,1971,1281,2.4,49.5,5.6,33.1,2.7,5,1.6,2.7
3548,2000,2049,1271,2.3,44.9,2.8,36.7,4.4,6.1,0.3,4.7
3548,2006-2010,2130,1425,2.5,33.7,3.2,42.1,3.9,9.5,1.4,5.6
3549,1990,5004,2471,4.7,52.8,8.9,27.3,0.9,7.9,0.6,1.5
3549,2000,5235,2544,4.6,42.4,8.3,36.8,2.4,7.6,1,1.6
3549,2006-2010,5830,2785,4.9,47.4,5.6,35.7,2.7,6.1,0,2.5
3550,1990,2514,1224,2.3,53,10.6,30.4,0.6,4.8,0.4,0
3550,2000,2712,1381,2.5,51.4,5.9,30.2,1.8,6.1,0.3,4.3
3550,2006-2010,3050,1745,3.1,46.1,4.6,37.5,0.6,4.9,1.4,4.9
3521.01,2012-2016,1725,925,1.5,39.5,6,28.7,1.6,16.8,0.9,6.5
3521.02,2012-2016,2375,1440,2.3,35.6,5.2,20.8,5.2,29.4,1.7,2.1
3521,2012-2016,4100,2365,3.8,37.2,5.5,23.9,3.8,24.5,1.4,3.8
3522,2012-2016,1690,955,1.5,22.5,2.1,39.3,7.9,24.1,0.4,3.7
3523,2012-2016,3910,2285,3.7,19.3,4.8,33.9,2,34.1,1.3,4.6
3524,2012-2016,2085,1050,1.7,29.9,0.4,38,10.4,19.9,0.9,0.4
3525,2012-2016,2760,1785,2.9,26.1,4.8,34.3,12.4,16.3,2.5,3.7
3526,2012-2016,2595,1555,2.5,29.7,5.4,25.6,6.1,28.4,0,4.8
3527,2012-2016,2185,1205,1.9,36.5,4.1,26.3,8.3,19.9,1.7,3.3
3528,2012-2016,2080,1480,2.4,35.9,2.6,27.8,12.9,15.2,0.5,5.1
3529,2012-2016,2910,1820,2.9,33,3,17.9,12.4,24.7,0.5,8.5
3530,2012-2016,3480,2115,3.4,18.4,3.1,49.1,7.5,11.1,0.7,10.1
3531.01,2012-2016,2600,1605,2.6,16.5,0.5,34.3,5.3,36.2,0,7.2
3531.02,2012-2016,4800,2200,3.6,9.3,3.6,10.5,9.3,57.3,0.7,9.3
3531,2012-2016,7400,3805,6.1,12.4,2.3,20.5,7.6,48.4,0.4,8.4
3532,2012-2016,5040,3065,4.9,21.9,1.6,27.3,10,32.3,2.1,4.9
3533,2012-2016,3620,2280,3.7,32.5,4.2,26.5,11.8,16.2,2,6.8
3534,2012-2016,2945,1915,3.1,20.2,6.3,37.7,5.2,22,1.8,6.8
3535,2012-2016,2670,1535,2.5,29.7,0.3,35.5,9.1,19.6,1.6,4.2
3536,2012-2016,4825,2600,4.2,21.6,5.6,23.7,5.6,36.3,2.1,5
3537,2012-2016,5755,3035,4.9,18.9,2.9,20,6,41.3,0.5,10.4
3538,2012-2016,4650,2990,4.8,27.9,0,35.2,9.5,20.4,0.5,6.5
3539,2012-2016,6285,3070,5,9,2.8,19.4,5.1,56.9,0.5,6.5
3540,2012-2016,4155,2310,3.7,26.4,1.1,18.2,4.5,39,0.4,10.4
3541,2012-2016,2790,1560,2.5,20.1,1.6,30,5.1,32.9,1.3,8.9
3542,2012-2016,3410,1705,2.8,40.5,4.7,18.7,7.6,13.2,0,15.3
3543,2012-2016,3280,1790,2.9,52.9,7,20.3,9.7,7.2,1.1,1.7
3544,2012-2016,1775,1055,1.7,46.3,3.2,21.7,7.1,11.3,0,10.4
3545,2012-2016,2225,1225,2,22.5,4.1,35.7,5.7,18,1.6,12.3
3546,2012-2016,5460,2810,4.5,41.5,1.6,29.7,4.1,11.9,0.5,10.7
3547,2012-2016,2750,1560,2.5,28.5,4.8,45.2,5.8,6.7,0,9
3548,2012-2016,2155,1465,2.4,36.9,1.7,33.8,10.3,9.9,1,6.5
3549,2012-2016,6555,3655,5.9,39.8,8.8,35.6,3.6,7.1,0.5,4.7
3550,2012-2016,3215,1885,3,43.9,2.9,39.2,0.5,7.9,1.1,4.5
Citywide,2012-2016,108755,61930,100,28.2,3.5,28.9,7,24.6,1,6.8
